timestamp_utc,temperature_c,pressure_hpa,humidity_percent
2025-12-21T10:25:12+00:00,17.88,1006.50,53.68
2025-12-21T10:25:27+00:00,17.73,1006.51,53.50
2025-12-21T10:25:42+00:00,17.58,1006.51,53.64
2025-12-21T10:25:57+00:00,17.44,1006.49,53.86
2025-12-21T10:26:12+00:00,17.30,1006.54,54.24
2025-12-21T10:26:27+00:00,17.19,1006.51,54.55
2025-12-21T10:26:42+00:00,17.12,1006.53,55.56
2025-12-21T10:26:57+00:00,17.25,1006.53,56.16
2025-12-21T10:27:12+00:00,17.44,1006.49,56.27
2025-12-21T10:27:27+00:00,17.67,1006.49,57.28
2025-12-21T10:27:42+00:00,17.85,1006.51,56.72
2025-12-21T10:27:57+00:00,18.04,1006.43,55.91
2025-12-21T10:28:12+00:00,18.24,1006.52,55.72
2025-12-21T10:28:27+00:00,18.42,1006.46,55.28
2025-12-21T10:28:42+00:00,18.58,1006.55,55.62
2025-12-21T10:28:57+00:00,18.76,1006.57,56.30
2025-12-21T10:29:12+00:00,18.98,1006.54,56.04
2025-12-21T10:29:27+00:00,19.22,1006.50,56.39
2025-12-21T10:29:42+00:00,19.45,1006.52,56.79
2025-12-21T10:29:57+00:00,19.59,1006.56,56.61
2025-12-21T10:30:12+00:00,19.71,1006.58,55.98
2025-12-21T10:30:27+00:00,19.79,1006.56,55.06
2025-12-21T10:30:42+00:00,19.91,1006.39,53.41
2025-12-21T10:30:57+00:00,19.93,1006.48,52.50
2025-12-21T10:31:12+00:00,19.89,1006.47,51.27
2025-12-21T10:31:27+00:00,19.90,1006.48,50.92
2025-12-21T10:31:42+00:00,19.87,1006.46,51.24
2025-12-21T10:31:57+00:00,19.78,1006.54,51.13
2025-12-21T10:32:12+00:00,19.70,1006.55,51.00
2025-12-21T10:32:27+00:00,19.70,1006.52,50.94
2025-12-21T10:32:42+00:00,19.67,1006.57,50.85
2025-12-21T10:32:57+00:00,19.61,1006.59,50.73
2025-12-21T10:33:12+00:00,19.59,1006.55,50.75
2025-12-21T10:33:27+00:00,19.67,1006.57,50.42
2025-12-21T10:33:42+00:00,19.77,1006.54,50.15
2025-12-21T10:33:57+00:00,19.85,1006.60,49.94
2025-12-21T10:34:12+00:00,19.93,1006.50,49.73
2025-12-21T10:34:27+00:00,19.99,1006.49,49.55
2025-12-21T10:34:42+00:00,20.02,1006.51,49.38
2025-12-21T10:34:57+00:00,19.96,1006.51,49.39
2025-12-21T10:35:12+00:00,19.85,1006.59,49.34
2025-12-21T10:35:27+00:00,19.77,1006.47,49.34
2025-12-21T10:35:42+00:00,19.72,1006.55,49.34
2025-12-21T10:35:57+00:00,19.74,1006.53,49.36
2025-12-21T10:36:12+00:00,19.76,1006.53,49.42
2025-12-21T10:36:27+00:00,19.75,1006.57,49.39
2025-12-21T10:36:42+00:00,19.70,1006.55,49.29
2025-12-21T10:36:57+00:00,19.69,1006.49,49.27
2025-12-21T10:37:12+00:00,19.71,1006.53,49.25
2025-12-21T10:37:27+00:00,19.75,1006.49,49.18
2025-12-21T10:37:42+00:00,19.85,1006.48,48.96
2025-12-21T10:37:57+00:00,19.94,1006.49,48.80
2025-12-21T10:38:12+00:00,20.03,1006.46,48.64
2025-12-21T10:38:27+00:00,20.10,1006.46,48.53
2025-12-21T10:38:42+00:00,20.18,1006.47,48.45
2025-12-21T10:38:57+00:00,20.23,1006.49,48.31
2025-12-21T10:39:12+00:00,20.29,1006.54,48.35
2025-12-21T10:39:27+00:00,20.34,1006.49,48.22
2025-12-21T10:39:42+00:00,20.38,1006.47,47.80
2025-12-21T10:39:57+00:00,20.42,1006.45,47.58
2025-12-21T10:40:12+00:00,20.46,1006.47,47.35
2025-12-21T10:40:27+00:00,20.51,1006.46,47.19
2025-12-21T10:40:42+00:00,20.55,1006.45,47.18
2025-12-21T10:40:57+00:00,20.58,1006.44,47.28
2025-12-21T10:41:12+00:00,20.62,1006.45,47.26
2025-12-21T10:41:27+00:00,20.67,1006.45,47.20
2025-12-21T10:41:42+00:00,20.72,1006.48,47.12
2025-12-21T10:41:57+00:00,20.78,1006.41,47.03
2025-12-21T10:42:12+00:00,20.83,1006.41,47.05
2025-12-21T10:42:27+00:00,20.88,1006.41,47.15
2025-12-21T10:42:42+00:00,20.95,1006.43,47.20
2025-12-21T10:42:57+00:00,21.01,1006.40,47.27
2025-12-21T10:43:12+00:00,21.07,1006.43,47.27
2025-12-21T10:43:27+00:00,21.11,1006.39,47.14
2025-12-21T10:43:42+00:00,21.16,1006.40,46.99
